X_Freq_Hz;Y_Ampl_dBc_Hz
10.0;-88.341805
10.115794;-88.501991
10.232929;-88.65062
10.351421;-88.788078
10.471285;-88.925148
10.592537;-89.061821
10.715193;-89.191193
10.839269;-89.301819
10.964781;-89.411697
11.091747;-89.520821
11.220183;-89.62516
11.350107;-89.715752
11.481535;-89.805771
11.614488;-89.895218
11.748977;-89.984077
11.885023;-90.072639
12.022646;-90.161057
12.161861;-90.249321
12.302689;-90.352425
12.445147;-90.462616
12.589254;-90.572807
12.735031;-90.688316
12.882496;-90.838684
13.031668;-90.988945
13.182568;-91.139107
13.335215;-91.321289
13.489629;-91.515465
13.645831;-91.709496
13.803843;-91.916771
13.963683;-92.140518
14.125375;-92.364197
14.288939;-92.588715
14.454396;-92.81546
14.621771;-93.042206
14.791082;-93.263596
14.962355;-93.468102
15.135611;-93.672554
15.310873;-93.866493
15.488168;-94.035477
15.667513;-94.204391
15.848933;-94.356949
16.032455;-94.489403
16.218102;-94.621857
16.405899;-94.73365
16.595871;-94.836166
16.78804;-94.938362
16.982437;-95.022682
17.179085;-95.106979
17.378008;-95.190338
17.579237;-95.272438
17.782795;-95.354546
17.988708;-95.450226
18.197008;-95.547295
18.407719;-95.657028
18.620871;-95.781631
18.836491;-95.908661
19.054605;-96.064018
19.275248;-96.219345
19.498444;-96.393005
19.724226;-96.572342
19.952621;-96.757233
20.183661;-96.947495
20.417377;-97.136742
20.653805;-97.323753
20.892963;-97.508331
21.134893;-97.681015
21.379623;-97.852264
21.627188;-98.005852
21.877619;-98.159004
22.130949;-98.297287
22.387213;-98.435425
22.646444;-98.568878
22.908678;-98.702583
23.173946;-98.840508
23.442289;-98.979279
23.713737;-99.122971
23.988329;-99.267357
24.2661;-99.413536
24.547089;-99.562599
24.831329;-99.714798
25.118862;-99.881477
25.409725;-100.054695
25.703957;-100.261894
26.001593;-100.478424
26.302677;-100.721802
26.607248;-100.967789
26.915344;-101.216187
27.227009;-101.43486
27.54229;-101.634872
27.861216;-101.791496
28.183832;-101.917122
28.510185;-102.024353
28.840317;-102.114456
29.174273;-102.208954
29.512094;-102.307938
29.853828;-102.429688
30.199518;-102.56794
30.549212;-102.722282
30.902954;-102.902512
31.260794;-103.091721
31.622776;-103.2817
31.988951;-103.459229
32.359364;-103.594872
32.73407;-103.694519
33.11311;-103.758904
33.496544;-103.794044
33.884415;-103.838448
34.276775;-103.908859
34.673683;-104.014397
35.075184;-104.161987
35.481335;-104.337845
35.892189;-104.509514
36.3078;-104.663994
36.728233;-104.796158
37.153526;-104.912369
37.583744;-105.037415
38.018944;-105.189514
38.459183;-105.360741
38.904518;-105.532303
39.355011;-105.684677
39.810719;-105.810013
40.271706;-105.921631
40.738029;-106.051109
41.209751;-106.231331
41.686939;-106.48037
42.169651;-106.783073
42.657951;-107.107529
43.151905;-107.420372
43.651581;-107.697182
44.157043;-107.929787
44.668358;-108.160728
45.185593;-108.339249
45.708817;-108.530121
46.238098;-108.747467
46.77351;-108.987762
47.315121;-109.225433
47.863003;-109.415123
48.417229;-109.508415
48.97789;-109.488869
49.545025;-109.399536
50.118729;-109.333755
50.699078;-109.475868
51.286144;-109.697906
51.880009;-109.947159
52.480751;-110.166656
53.088448;-110.329498
53.703182;-110.469543
54.325035;-110.544647
54.95409;-110.58902
55.590427;-110.665855
56.234131;-110.876839
56.885292;-111.134384
57.543991;-111.298691
58.21032;-111.255646
58.884361;-110.684677
59.566212;-109.951599
60.255955;-108.94902
60.953686;-108.501747
61.659496;-108.703285
62.373478;-109.70118
63.095726;-111.128174
63.82634;-112.250298
64.565414;-112.778046
65.313065;-112.962021
66.069351;-113.156441
