X_Freq_Hz;Y_Ampl_dBc_Hz
10.0;-104.827644
10.115794;-104.975121
10.232929;-105.121895
10.351421;-105.26799
10.471285;-105.414055
10.592537;-105.560089
10.715193;-105.706665
10.839269;-105.854736
10.964781;-106.002747
11.091747;-106.150703
11.220183;-106.299805
11.350107;-106.452766
11.481535;-106.605698
11.614488;-106.758606
11.748977;-106.912865
11.885023;-107.06942
12.022646;-107.22599
12.161861;-107.382545
12.302689;-107.537903
12.445147;-107.692688
12.589254;-107.847458
12.735031;-108.001472
12.882496;-108.150475
13.031668;-108.299438
13.182568;-108.448341
13.335215;-108.595299
13.489629;-108.741402
13.645831;-108.887367
13.803843;-109.035995
13.963683;-109.187828
14.125375;-109.339386
14.288939;-109.4944
14.454396;-109.658203
14.621771;-109.821609
14.791082;-109.986954
14.962355;-110.15934
15.135611;-110.331367
15.310873;-110.502113
15.488168;-110.670494
15.667513;-110.83876
15.848933;-110.999779
16.032455;-111.151978
16.218102;-111.304161
16.405899;-111.444588
16.595871;-111.579491
16.78804;-111.71402
16.982437;-111.842743
17.179085;-111.970894
17.378008;-112.102165
17.579237;-112.237877
17.782795;-112.373016
17.988708;-112.523003
18.197008;-112.674141
18.407719;-112.832481
18.620871;-112.999474
18.836491;-113.166962
19.054605;-113.343224
19.275248;-113.519333
19.498444;-113.696938
19.724226;-113.875008
19.952621;-114.052994
20.183661;-114.230942
20.417377;-114.410507
20.653805;-114.593666
20.892963;-114.77887
21.134893;-114.974724
21.379623;-115.171371
21.627188;-115.38044
21.877619;-115.589241
22.130949;-115.798615
22.387213;-116.006897
22.646444;-116.191559
22.908678;-116.371994
23.173946;-116.505844
23.442289;-116.629433
23.713737;-116.70295
23.988329;-116.764061
24.2661;-116.79631
24.547089;-116.82872
24.831329;-116.861259
25.118862;-116.923492
25.409725;-116.999428
25.703957;-117.137253
26.001593;-117.291679
26.302677;-117.492531
26.607248;-117.705635
26.915344;-117.930023
27.227009;-118.142586
27.54229;-118.346123
27.861216;-118.528145
28.183832;-118.700577
28.510185;-118.868393
28.840317;-119.042114
29.174273;-119.221451
29.512094;-119.405067
29.853828;-119.580162
30.199518;-119.736618
30.549212;-119.87439
30.902954;-119.977921
31.260794;-120.0746
31.622776;-120.17498
31.988951;-120.298203
32.359364;-120.467354
32.73407;-120.665199
33.11311;-120.884872
33.496544;-121.104294
33.884415;-121.282608
34.276775;-121.412468
34.673683;-121.491066
35.075184;-121.521461
35.481335;-121.530365
35.892189;-121.546616
36.3078;-121.579605
36.728233;-121.636185
37.153526;-121.720543
37.583744;-121.84668
38.018944;-122.023239
38.459183;-122.246567
38.904518;-122.498329
39.355011;-122.744339
39.810719;-122.946213
40.271706;-123.082565
40.738029;-123.169113
41.209751;-123.25351
41.686939;-123.382507
42.169651;-123.558678
42.657951;-123.744492
43.151905;-123.892273
43.651581;-123.975105
44.157043;-124.005112
44.668358;-124.027962
45.185593;-124.089569
45.708817;-124.212334
46.238098;-124.386612
46.77351;-124.584785
47.315121;-124.775841
47.863003;-124.936653
48.417229;-125.057884
48.97789;-125.147736
49.545025;-125.227806
50.118729;-125.346458
50.699078;-125.415146
51.286144;-125.397552
51.880009;-125.352676
52.480751;-125.313774
53.088448;-125.305321
53.703182;-125.394241
54.325035;-125.620094
54.95409;-125.8647
55.590427;-126.150497
56.234131;-126.519241
56.885292;-126.684532
57.543991;-126.630493
58.21032;-126.467445
58.884361;-126.395393
59.566212;-126.448845
60.255955;-126.61615
60.953686;-126.829765
61.659496;-127.015732
62.373478;-127.350433
63.095726;-127.655663
63.82634;-127.834389
64.565414;-127.965805
65.313065;-128.119827
66.069351;-128.292847
66.834396;-128.411835
67.608307;-128.454803
68.391174;-128.468491
69.183105;-128.537857
69.984207;-128.717102
70.794579;-128.963257
71.614342;-129.164291
72.443596;-129.252106
73.282455;-129.271255
74.131027;-129.374573
74.989418;-129.597366
75.857758;-129.811798
76.736145;-129.951996
77.62471;-130.083542
78.52356;-130.210922
79.432816;-130.214035
80.352608;-130.184021
81.283043;-130.248871
82.224258;-130.451508
83.176369;-130.589584
84.139503;-130.654221
85.113792;-130.748444
86.099365;-130.790497
87.096367;-130.749741
88.104897;-130.840393
